interaction_type,has_open_tracking,has_click_tracking,content_type,time_quadrant,hour,minute,weekday,date,month,thread_length,thread_avg_reply_delay,thread_avg_receive_delay,identifier,used_tracking
RECEIVED,FALSE,FALSE,UPDATES,1,3,29,Friday,23,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,TRUE,TRUE,PROMOTIONS,1,3,20,Friday,23,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,TRUE,FALSE,PROMOTIONS,1,3,12,Friday,23,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,FALSE,FALSE,UPDATES,3,15,50,Thursday,22,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,TRUE,FALSE,UPDATES,4,20,58,Thursday,22,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,FALSE,FALSE,UPDATES,3,15,17,Thursday,22,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,TRUE,FALSE,UPDATES,3,15,8,Thursday,22,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,1,5,42,Thursday,22,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,2,10,37,Thursday,22,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,FALSE,FALSE,PERSONAL,3,14,6,Thursday,22,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,1,2,48,Thursday,22,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,1,5,41,Thursday,22,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,1,4,37,Thursday,22,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,PROMOTIONS,1,4,19,Thursday,22,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,1,3,1,Thursday,22,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,2,8,52,Wednesday,21,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,2,8,51,Wednesday,21,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,2,6,30,Wednesday,21,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,2,6,29,Wednesday,21,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,PERSONAL,2,6,29,Wednesday,21,10,4,0,20,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,2,6,22,Wednesday,21,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,2,6,22,Wednesday,21,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,PERSONAL,2,6,21,Wednesday,21,10,4,0,20,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,1,5,33,Wednesday,21,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,1,5,33,Wednesday,21,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,PERSONAL,1,5,33,Wednesday,21,10,4,0,20,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,1,5,28,Wednesday,21,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,1,5,28,Wednesday,21,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,1,5,27,Wednesday,21,10,4,0,20,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,1,4,56,Wednesday,21,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,TRUE,FALSE,PROMOTIONS,1,4,38,Wednesday,21,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
SENT,FALSE,FALSE,UPDATES,1,4,34,Wednesday,21,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,PERSONAL,1,2,40,Wednesday,21,10,2,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,1,2,40,Wednesday,21,10,2,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,1,2,6,Wednesday,21,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,1,2,0,Wednesday,21,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,4,20,19,Tuesday,20,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,4,20,19,Tuesday,20,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,4,20,10,Tuesday,20,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,3,13,26,Tuesday,20,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,TRUE,FALSE,PROMOTIONS,1,2,43,Tuesday,20,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
RECEIVED,FALSE,FALSE,UPDATES,4,23,18,Tuesday,20,10,1,0,0,e6ca72cddd77e2dfc9ef1d47ed743edb,1
